env,algo,K,seed,mean_return,best_return,timestamp
CartPole-v1,f_irl,1,0,10.7,84.0,2026-05-14T01:11:41.391044
CartPole-v1,f_irl,1,1,15.85,500.0,2026-05-14T01:17:25.552926
Pendulum-v1,f_irl,1,0,-836.7062958267674,-187.04605548995343,2026-05-14T01:21:15.016357
CartPole-v1,f_irl,1,2,9.45,71.25,2026-05-14T01:22:02.117117
CartPole-v1,f_irl,5,0,9.9,148.6,2026-05-14T01:26:57.811501
CartPole-v1,f_irl,5,1,9.45,107.55,2026-05-14T01:31:24.649599
Pendulum-v1,f_irl,1,1,-1266.3877720553407,-170.91140845769058,2026-05-14T01:34:02.297049
CartPole-v1,f_irl,5,2,10.2,114.85,2026-05-14T01:36:38.315557
CartPole-v1,f_irl,20,0,100.2,285.35,2026-05-14T01:42:42.081727
CartPole-v1,f_irl,20,1,146.05,138.55,2026-05-14T01:47:50.903999
Pendulum-v1,f_irl,1,2,-1358.3951376998227,-799.2710283554391,2026-05-14T01:48:33.445978
CartPole-v1,f_irl,20,2,9.6,86.9,2026-05-14T01:52:49.199210
CartPole-v1,f_irl,100,0,29.9,152.05,2026-05-14T01:58:01.458526
Pendulum-v1,f_irl,5,0,-1068.3270545929297,-519.5340615435297,2026-05-14T02:02:08.682663
CartPole-v1,f_irl,100,1,18.1,120.35,2026-05-14T02:02:34.816436
CartPole-v1,f_irl,100,2,11.0,229.0,2026-05-14T02:07:43.524368
Pendulum-v1,f_irl,5,1,-1723.8616800133502,-1203.453987217632,2026-05-14T02:15:35.986585
Pendulum-v1,f_irl,5,2,-1719.3757832062324,-1260.2453533543687,2026-05-14T02:28:56.071772
Pendulum-v1,f_irl,20,0,-1570.5192137811146,-1133.5168026729348,2026-05-14T02:42:59.218486
Pendulum-v1,f_irl,20,1,-184.59428281050663,-183.84865202106516,2026-05-14T02:56:31.136363
Pendulum-v1,f_irl,20,2,-1153.2503577892908,-1114.085249720549,2026-05-14T03:10:47.400655
Pendulum-v1,f_irl,100,0,-308.36405737265943,-308.36405737265943,2026-05-14T03:24:43.560820
Pendulum-v1,f_irl,100,1,-1651.3195617659542,-1255.5623495328268,2026-05-14T03:38:05.075460
Pendulum-v1,f_irl,100,2,-1611.3170642014802,-1244.018444065828,2026-05-14T03:50:49.663130
CartPole-v1,iq_learn,1,0,18.9,18.9,2026-05-08T10:49:54.936637
CartPole-v1,iq_learn,1,1,9.5,9.5,2026-05-08T10:58:19.569518
Pendulum-v1,iq_learn,1,0,-1438.6712072091154,-1438.67,2026-05-08T11:01:23.550311
CartPole-v1,iq_learn,1,2,284.05,284.05,2026-05-08T11:06:58.565561
CartPole-v1,iq_learn,5,0,205.85,205.85,2026-05-08T11:14:00.002664
Pendulum-v1,iq_learn,1,1,-1530.280690945958,-1530.28069,2026-05-08T11:18:32.600280
